id,name,x,y,capacity,0:00,0:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
373,Prince Consort Road Knightsbridge,526674,179456,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,10,10,14,16,17,18,18,18,18,17,18,18,16,15,13,12,12,12,7,3,3,3,1,1,1,1,0,0,0
374,Waterloo Station 1 Waterloo,531003,180035,34,29,29,29,29,31,31,31,31,31,31,31,31,32,32,30,33,34,0,2,1,26,24,22,21,21,20,23,22,21,25,26,12,20,6,21,27,35,35,35,33,32,34,34,34,33,33,35,35
375,Kensington Town Hall Kensington,525421,179663,18,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,1,3,4,4,7,8,8,8,7,7,7,5,5,5,5,6,6,6,7,7,6,5,7,7,10,10,10,10,10,10,10,10,10
376,Millbank House Pimlico,530218,178664,21,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,7,10,15,16,19,20,19,17,18,18,17,15,14,15,17,16,16,14,8,10,7,8,10,10,10,10,10,10,10,10,9
377,Waterloo Bridge South Bank,531014,180183,15,11,11,11,11,14,14,14,14,14,14,15,15,15,15,15,15,13,10,6,1,0,1,1,0,3,4,5,5,5,3,2,2,3,5,3,7,13,15,15,13,14,13,11,10,9,7,7,8
378,Natural History Museum South Kensington,526501,178983,40,12,12,12,12,12,12,12,12,12,12,11,11,11,12,12,11,12,10,7,7,9,10,10,10,10,10,10,9,10,10,11,9,9,9,9,8,8,10,13,14,16,16,16,16,16,16,17,18
379,Turquoise Island Notting Hill,524939,181027,19,3,5,5,5,5,5,5,5,5,5,5,5,5,4,3,0,0,0,0,0,0,6,6,7,7,7,5,5,2,4,3,2,2,2,11,18,14,19,18,18,18,19,19,19,17,19,20,20
380,Stanhope Gate Mayfair,528441,180285,20,9,9,9,8,8,8,8,8,8,8,8,8,8,9,9,11,13,16,17,20,21,21,20,21,12,12,12,10,13,13,13,13,11,10,10,10,5,2,0,0,0,0,1,0,0,0,0,0
381,Charlotte Street Fitzrovia,529439,181721,14,3,3,3,3,3,3,3,3,3,3,3,3,4,5,4,2,8,14,14,13,13,14,14,10,5,4,3,3,0,2,5,5,6,6,4,0,0,1,2,0,2,1,0,0,0,0,0,0
382,Farm Street Mayfair,528658,180567,14,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,6,6,8,11,13,13,13,13,13,8,8,9,8,8,8,7,7,5,5,2,0,0,0,0,1,0,0,0,0,0,2,2,2
