id,name,x,y,capacity,0:00,0:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
570,Upper Bank Street Canary Wharf,537682,180107,35,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,6,6,13,13,15,15,16,15,16,17,17,17,18,15,16,16,16,16,16,16,12,4,4,1,1,0,0,0,0,0,0,0,0
571,Westfield Southern Terrace Shepherd's Bush,523747,180102,29,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,14,6,4,4,4,4,1,1,2,2,3,3,4,3,5,6,5,5,4,6,6,8,10,12,14,13,13,13,13,13,13,13
572,Greenland Road Camden Town,528971,183886,36,22,22,22,21,22,22,22,22,24,24,25,25,24,25,25,22,22,16,17,13,14,15,15,12,11,13,8,8,11,13,11,16,18,18,15,18,20,26,29,30,30,31,33,33,33,31,24,23
573,Limerston Street Chelsea,526382,177867,18,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,1,0,0,1,2,2,3,4,5,5,5,5,4,2,4,6,4,8,10,9,11,13,14,14,16,16,15,15,16,16,15,17,17
574,Eagle Wharf Road Hoxton,532355,183357,45,16,16,16,16,16,17,17,17,17,17,17,17,15,13,9,2,0,3,1,0,1,2,3,6,6,6,6,7,8,9,8,6,6,6,11,14,22,24,30,38,40,44,36,37,40,39,40,40
576,Alpha Grove Millwall,537344,179455,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,21,21,21,20,20,20,20,20,20,20,21,21,19,19,20,20,19,18,19,19,19,22,21,22,23,23,23,23,23,22,22,23,23,23
577,Globe Town Market Bethnal Green,535532,182919,20,18,18,16,16,16,16,16,16,16,16,15,15,15,14,14,12,9,7,8,5,4,4,4,4,2,0,1,1,0,1,0,1,0,1,1,2,7,11,14,13,13,15,16,16,17,16,16,16
578,Hollybush Gardens Bethnal Green,534871,182761,32,23,23,23,23,23,23,23,23,23,23,23,23,22,23,23,23,21,14,11,9,8,8,7,6,4,4,4,4,3,3,3,2,2,5,7,6,7,6,12,10,8,7,8,9,9,9,10,11
579,Queen Street 2 Bank,532427,180876,35,5,5,6,6,6,6,6,6,6,6,6,7,8,13,9,15,16,15,17,19,21,21,21,21,13,15,17,19,18,17,18,16,12,9,3,0,11,17,11,8,4,4,3,2,0,0,0,0
581,New Cavendish Street Marylebone,528593,181659,18,3,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5,9,11,14,15,17,17,17,16,17,14,13,14,16,16,16,16,14,16,16,16,11,7,10,8,7,7,8,8,8,6,6,6
583,Abingdon Green Great College Street,530181,179302,20,4,4,4,4,4,4,1,1,1,1,1,1,2,3,3,6,11,18,19,19,19,17,16,16,19,17,17,20,20,19,15,15,14,8,3,0,11,12,10,10,1,1,1,1,1,1,1,2
584,Ilchester Gardens Bayswater,525630,180836,21,10,10,10,10,10,9,10,10,10,10,10,10,10,10,7,5,0,0,1,1,0,0,0,0,0,0,5,5,5,5,5,5,7,8,8,7,12,11,12,15,19,17,18,18,18,17,16,16
586,Mudchute DLR Cubitt Town,537934,178730,31,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,13,14,14,14,14,14,14,14,15,14,14,14,14,14,14,14,12,13,12,12,13,14,14,14,14,14,13,13,13,13
587,Monument Street Monument,532992,180711,20,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,1,4,10,14,14,16,15,15,15,17,17,15,15,17,16,17,17,16,14,14,7,2,0,3,4,2,2,4,4,3,2,2,2
588,Hoxton Street Hoxton,533272,182939,26,5,5,5,5,5,5,5,5,5,5,5,5,3,3,1,1,1,10,10,11,11,12,12,12,11,10,10,9,10,8,8,8,9,9,9,8,10,12,14,14,15,16,16,16,16,17,17,16
589,Drayton Gardens Chelsea,526504,178049,17,4,5,5,5,5,5,5,5,5,5,6,5,5,6,6,6,3,2,2,4,2,1,1,1,1,3,4,4,4,4,0,1,1,1,2,2,4,5,12,10,11,10,10,14,10,10,10,10
590,Greenberry Street St.John's Wood,527124,183112,24,5,5,5,5,5,5,5,5,5,5,12,12,12,11,11,11,9,8,6,3,2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,8,9,9,10,10,10,10,12,12,13,14,14,17
591,Westfield Library Corner Shepherd's Bush,523339,180074,27,10,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,12,11,12,5,2,2,2,2,1,1,1,1,1,2,1,0,1,1,1,1,2,2,4,7,8,8,8,9,9,8,8,8
592,Bishop's Bridge Road East Bayswater,526116,181367,19,17,17,17,16,17,17,18,18,18,18,19,19,20,20,16,16,16,16,16,16,14,15,15,15,15,12,11,11,11,10,10,10,9,10,10,5,4,5,3,3,4,4,4,6,6,8,10,11
593,Northdown Street King's Cross,530546,183033,21,18,18,18,18,18,18,18,18,18,18,17,17,17,17,14,14,10,8,2,0,0,0,2,2,1,3,3,5,7,6,6,5,6,7,10,15,18,19,19,18,19,20,19,20,20,20,20,20
594,Kingsway Southbound Strand,530704,181123,32,5,5,5,5,5,5,3,3,3,3,3,3,3,5,5,6,8,10,12,15,17,20,19,19,21,24,26,25,24,24,26,27,28,24,23,20,13,6,4,0,0,0,0,0,0,0,0,0
595,Hammersmith Road  Hammersmith,523677,178654,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
606,Addison Road  Holland Park,523700,179865,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
607,Putney Bridge Station  Fulham,524408,175952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
